698 2756 4012 2531 4100 698 1
699 1466 1291 2697 3147 699 1
700 2601 3323 2859 3685 700 1
701 2547 3051 2486 3770 701 1
702 2394 3221 2632 3424 702 1
703 1900 2806 1986 3028 703 1
704 2369 2783 2849 3374 704 1
705 2537 3562 2887 3640 705 1
706 2362 2886 3253 3531 706 1
707 2469 3346 4053 4057 707 1
708 2429 2935 2797 3011 708 1
709 3018 3376 2639 3821 709 1
710 953 1071 3091 3646 710 1
711 2556 3019 3042 3468 711 1
712 2437 3310 3064 4212 712 1
713 3650 3819 2686 3990 713 1
714 1886 3615 3162 4161 714 1
715 3107 3329 3308 4467 715 1
716 1136 49 995 2968 716 1
717 2566 3190 3461 3524 717 1
718 2694 2914 2819 4383 718 1
719 2658 3231 578 4176 719 1
720 2611 3148 2927 3579 720 1
721 2619 3683 2920 4395 721 1
722 3694 2755 4082 4260 722 1
723 2421 2718 2879 3097 723 1
724 2349 2673 3454 3775 724 1
725 2535 3148 3878 3960 725 1
726 2408 2608 3176 3828 726 1
727 2545 3006 2546 4475 727 1
728 2636 2498 4341 4441 728 1
729 2409 3102 2825 3276 729 1
730 3107 3407 3308 4292 730 1
731 3018 3249 2618 4086 731 1
732 2845 3276 1204 4136 732 1
733 2362 3089 2886 3654 733 1
734 2472 4101 3655 4395 734 1
735 2403 2778 3047 4219 735 1
736 2380 2858 3170 3277 736 1
737 3068 3239 2554 4238 737 1
738 3349 3746 2973 4305 738 1
739 2509 2725 3591 4060 739 1
740 2390 2768 3626 4393 740 1
741 2898 3516 2617 3817 741 1
742 1605 2920 3179 4105 742 1
743 2739 2838 2420 3239 743 1
744 2677 3398 3241 4385 744 1
745 2583 3329 3107 4467 745 1
746 2444 3247 3236 3928 746 1
747 2343 2714 3433 3506 747 1
748 2703 3041 2873 3963 748 1
749 2695 3347 3295 4166 749 1
750 2814 3372 2760 3508 750 1
751 2344 2936 3210 4311 751 1
752 2452 3454 3151 3675 752 1
753 2868 3341 2596 4023 753 1
754 665 3502 2906 3617 754 1
755 40 2720 3407 3879 755 1
756 2590 3622 3273 3753 756 1
757 2361 2775 3386 3735 757 1
758 2378 3103 3611 4012 758 1
759 3016 3273 2424 3753 759 1
760 1524 3035 1702 3727 760 1
761 3023 3895 4026 4160 761 1
762 2412 2967 2788 4286 762 1
763 2360 3498 3043 4223 763 1
764 2478 2818 3597 4188 764 1
765 2923 3007 2746 4438 765 1
766 2486 2620 3051 3135 766 1
767 2942 3096 842 3364 767 1
768 2372 2833 3008 3667 768 1
769 1687 2594 1561 3288 769 1
770 2760 3166 2614 3372 770 1
771 2714 2883 2391 3164 771 1
772 3243 3320 2524 3853 772 1
773 2396 3147 2697 3902 773 1
774 2361 3193 2775 3207 774 1
775 2486 3051 2547 3674 775 1
776 2534 3050 2882 3620 776 1
777 2743 2953 2402 3261 777 1
778 2799 3264 2612 3489 778 1
779 2483 3650 2686 3986 779 1
780 2419 3180 3837 4315 780 1
781 2382 3176 3056 3615 781 1
782 1864 49 2007 2968 782 1
783 2546 2967 2966 3155 783 1
